Employing Organization,Position Location - State,Job Title,Company Industry (Specific),Industry Group (1 of 10),Job Title Description,Job Title Classified Group
Family Enhancement Center,Minnesota,Mental Health Therapist,Nonprofit - Family Services,6. Government & Public Service,"Provides therapeutic interventions for physical or mental health conditions, working closely with patients to improve outcomes.",Healthcare & Clinical
Family Nanny,Minnesota,Nanny,Professional Services - Nanny Service,7. Professional Services & Consulting,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Consulting & Advisory
Familymeans,Minnesota,Pathways Intern,Nonprofit - Family Services,6. Government & Public Service,"Provides hands-on workplace experience for students or recent graduates, blending learning with real project contributions.",Government & Public Service
Farmers Insurance,Minnesota,Associate Agent,Financial Services - Insurance,3. Financial Services & Insurance,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time.",Sales & Business Development
Farmers Insurance,Minnesota,Business Development Manager,Financial Services - Insurance,3. Financial Services & Insurance,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Sales & Business Development
Fastest,Minnesota,Mechanical Engineer,Transportation - Delivery,7. Professional Services & Consulting,"Designs, develops, and tests mechanical devices, tools, engines, and machines.",Engineering
Fastest,Minnesota,Director of Global Sales Operations,Transportation - Delivery,7. Professional Services & Consulting,"Sets strategic direction for departments or business units, overseeing large-scale initiatives and high-level decision-making.",Sales & Business Development
Federal Reserve Bank,Minnesota,Risk Manager,Financial Services - Central Banking,3. Financial Services & Insurance,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Finance & Accounting
Federal Reserve Bank,Minnesota,Data Scientist,Financial Services - Central Banking,3. Financial Services & Insurance,"Uses advanced analytics, machine learning, and statistical methods to extract insights from complex data sets.",Research & Science
Federal Reserve Bank,Minnesota,Information Security Analyst,Financial Services - Central Banking,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Software & IT
Federal Reserve Bank,Minnesota,Data Scientist,Financial Services - Central Banking,3. Financial Services & Insurance,"Uses advanced analytics, machine learning, and statistical methods to extract insights from complex data sets.",Research & Science
Fidelity Investments,Texas,Financial Services Associate,Financial Services - Investment Management,3. Financial Services & Insurance,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time.",Finance & Accounting
Health Care Service Corporation,Illinois,Actuarial Analyst,Healthcare - Health Insurance,2. Healthcare & Medical,"Uses mathematics, statistics, and financial theory to study uncertain future events, especially in insurance and pension programs.",Finance & Accounting
First Avenue & The 7th St. Entry,Minnesota,Event Staff,Entertainment - Live Music Venue,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Sales & Business Development
"Focus Company Co., Ltd",Michigan,Campus Minister,Education - Exchange Program,5. Education & Academia,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Nonprofit & Social Services
Foodsby,Minnesota,Growth Specialist,Technology - Office Food Delivery,1. Technology & Software,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization.",Software & IT
Holmes & Murphy,Illinois,Customer Service Specialist,Financial Services - Insurance Brokerage,3. Financial Services & Insurance,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization.",Sales & Business Development
Fortitude Systems,District of Columbia,Technical Recruiter,Technology - IT Services,1. Technology & Software,"Sources, screens, and recruits top talent for open positions, managing the full hiring lifecycle from outreach to offer.",Human Resources
Fortitude Systems,Colorado,Technical Recruiter,Technology - IT Services,1. Technology & Software,"Sources, screens, and recruits top talent for open positions, managing the full hiring lifecycle from outreach to offer.",Human Resources
Fortra Corp,Minnesota,Business Development Representative,Technology - Cybersecurity,1. Technology & Software,"Serves as the primary liaison between the organization and its clients or partners, managing relationships and resolving issues.",Sales & Business Development
Foss Swim School,Minnesota,Marketing Coordinator,Education - Swimming,5. Education & Academia,"Supports marketing campaigns, coordinates events, manages social media, and assists with content creation.",Marketing & Communications
Fountain Hill Winery & Vineyard,Minnesota,Nursery Assistant,Hospitality - Winery,8. Retail & Consumer Products,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Healthcare & Clinical
Four Seasons Hotels and Resorts,Minnesota,Server,Hospitality - Hotels,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Sales & Business Development
Franklin Pierce University,Minnesota,Student-Athlete Mentor,Education - University,5. Education & Academia,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Education & Teaching
Fraser,Minnesota,Human Resources Talent Acquisition Specialist,Nonprofit - Disability Services,6. Government & Public Service,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization.",Human Resources
Fraser,Minnesota,Targeted Case Manager,Nonprofit - Disability Services,6. Government & Public Service,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Healthcare & Clinical
Fraser,Minnesota,Clinical Trainee,Nonprofit - Disability Services,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Healthcare & Clinical
Fraser,Minnesota,Clinical Social Worker,Nonprofit - Disability Services,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Healthcare & Clinical
