Employing Organization,Position Location - State,Job Title,Company Industry (Specific),Industry Group (1 of 10),Job Title Description
Allina Health,Minnesota,Quality and Safety Manager,Healthcare - Hospital System,2. Healthcare & Medical,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Altar'd State,Minnesota,Guest Lead,Retail - Women's Apparel,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Amazon,Minnesota,Area Manager,Technology - E-Commerce & Cloud,1. Technology & Software,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Amazon,Minnesota,Program Manager,Technology - E-Commerce & Cloud,1. Technology & Software,"Oversees multiple related projects, aligning them with organizational strategy and goals."
Amazon,Minnesota,Software Engineer,Technology - E-Commerce & Cloud,1. Technology & Software,"Designs, develops, tests, and maintains software applications and systems."
"American Engineering Testing, Inc.",Minnesota,Field Engineer,Engineering - Testing,"10. Construction, Engineering & Real Estate","Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
American Equity Investment Life Insurance,Minnesota,Investment Analyst,Financial Services - Life Insurance,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
American Relief Agency For The Horn of Africa,Minnesota,Executive Director,Nonprofit - Humanitarian,6. Government & Public Service,"Sets strategic direction for departments or business units, overseeing large-scale initiatives and high-level decision-making."
American Society of Civil Engineers,Minnesota,Chapter Treasurer,Nonprofit - Professional Association,6. Government & Public Service,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Ameriprise Financial,Minnesota,Leadership Development Program Associate,Financial Services - Wealth Management,3. Financial Services & Insurance,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Ameriprise Financial,Minnesota,Leadership Development Program Associate,Financial Services - Wealth Management,3. Financial Services & Insurance,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Ameriprise Financial,Minnesota,Leadership Development Program Associate,Financial Services - Wealth Management,3. Financial Services & Insurance,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Ameriprise Financial,Minnesota,Client Support Associate,Financial Services - Wealth Management,3. Financial Services & Insurance,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Ameriprise Financial,Minnesota,Leadership Development Program Associate,Financial Services - Wealth Management,3. Financial Services & Insurance,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Ameriprise Financial,Minnesota,Leadership Development Program Associate,Financial Services - Wealth Management,3. Financial Services & Insurance,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Ameriprise Financial,Minnesota,Financial Advisor,Financial Services - Wealth Management,3. Financial Services & Insurance,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Ameriprise Financial,Minnesota,Business Systems Analyst,Financial Services - Wealth Management,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Ameriprise Financial,Minnesota,Customer Service Associate,Financial Services - Wealth Management,3. Financial Services & Insurance,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Ameriprise Financial,Minnesota,Compensation Analyst,Financial Services - Wealth Management,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Ameriprise Financial,Minnesota,Project Manager,Financial Services - Wealth Management,3. Financial Services & Insurance,"Plans, executes, and closes projects, managing scope, schedule, budget, and team resources."
Amery Regional Medical Center,Wisconsin,Outpatient Mental Health Therapist,Healthcare - Hospital,2. Healthcare & Medical,"Provides therapeutic interventions for physical or mental health conditions, working closely with patients to improve outcomes."
Ami Consulting Engineers,Minnesota,Civil Engineer,Engineering - Civil,"10. Construction, Engineering & Real Estate","Plans, designs, and oversees construction of infrastructure projects like roads, bridges, and buildings."
CDW,Illinois,Partner Specialist,Technology - IT Solutions Distribution,1. Technology & Software,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization."
Andersen Global,Minnesota,Digital Marketing Coordinator,Professional Services - Tax & Legal,7. Professional Services & Consulting,"Coordinates logistics, timelines, and cross-team communication to ensure projects and operations stay on track."
Andersen Global,Minnesota,Operational Financial Analyst,Professional Services - Tax & Legal,7. Professional Services & Consulting,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Andersen Global,Minnesota,Manufacturing Engineer,Professional Services - Tax & Legal,7. Professional Services & Consulting,"Develops and improves manufacturing processes, designs production layouts, and ensures product quality."
Andersen Global,Wisconsin,Engineering Manager,Professional Services - Tax & Legal,7. Professional Services & Consulting,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Andersen Tile and Stone,Minnesota,Business Owner,Construction - Tile & Stone,"10. Construction, Engineering & Real Estate",Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
