Employing Organization,Position Location - State,Job Title,Company Industry (Specific),Industry Group (1 of 10),Job Title Description
Allina Health,Minnesota,Workday Analyst,Healthcare - Hospital System,2. Healthcare & Medical,A professional analytical role focused on examining data and providing insights to support decisions.
Allina Health,Minnesota,Clinical Services Manager,Healthcare - Hospital System,2. Healthcare & Medical,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Allina Health,Minnesota,Quality and Safety Manager,Healthcare - Hospital System,2. Healthcare & Medical,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Altar'd State,Minnesota,Guest Lead,Retail - Women's Apparel,8. Retail & Consumer Products,A specialized professional role. (Description not available - requires further research.)
Amazon,Minnesota,Area Manager,Technology - E-Commerce & Cloud,1. Technology & Software,"A professional leadership role responsible for planning, organizing, and overseeing a team or function."
Amazon,Minnesota,Program Manager,Technology - E-Commerce & Cloud,1. Technology & Software,"Oversees multiple related projects, aligning them with organizational strategy and goals."
Amazon,Minnesota,Software Engineer,Technology - E-Commerce & Cloud,1. Technology & Software,"Designs, develops, tests, and maintains software applications and systems."
"American Engineering Testing, Inc.",Minnesota,Field Engineer,Engineering - Testing,"10. Construction, Engineering & Real Estate","A professional engineering role involving design, analysis, and problem-solving in a technical domain."
American Equity Investment Life Insurance,Minnesota,Investment Analyst,Financial Services - Life Insurance,3. Financial Services & Insurance,A professional analytical role focused on examining data and providing insights to support decisions.
American Relief Agency For The Horn of Africa,Minnesota,Executive Director,Nonprofit - Humanitarian,6. Government & Public Service,A professional senior leadership role setting strategy and overseeing departments or major functions.
American Society of Civil Engineers,Minnesota,Chapter Treasurer,Nonprofit - Professional Association,6. Government & Public Service,A specialized professional role. (Description not available - requires further research.)
Ameriprise Financial,Minnesota,Leadership Development Program Associate,Financial Services - Wealth Management,3. Financial Services & Insurance,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Ameriprise Financial,Minnesota,Leadership Development Program Associate,Financial Services - Wealth Management,3. Financial Services & Insurance,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Ameriprise Financial,Minnesota,Leadership Development Program Associate,Financial Services - Wealth Management,3. Financial Services & Insurance,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Ameriprise Financial,Minnesota,Client Support Associate,Financial Services - Wealth Management,3. Financial Services & Insurance,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Ameriprise Financial,Minnesota,Leadership Development Program Associate,Financial Services - Wealth Management,3. Financial Services & Insurance,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Ameriprise Financial,Minnesota,Leadership Development Program Associate,Financial Services - Wealth Management,3. Financial Services & Insurance,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Ameriprise Financial,Minnesota,Financial Advisor,Financial Services - Wealth Management,3. Financial Services & Insurance,A specialized professional role. (Description not available - requires further research.)
Ameriprise Financial,Minnesota,Business Systems Analyst,Financial Services - Wealth Management,3. Financial Services & Insurance,A professional analytical role focused on examining data and providing insights to support decisions.
Ameriprise Financial,Minnesota,Customer Service Associate,Financial Services - Wealth Management,3. Financial Services & Insurance,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Ameriprise Financial,Minnesota,Compensation Analyst,Financial Services - Wealth Management,3. Financial Services & Insurance,A professional analytical role focused on examining data and providing insights to support decisions.
Ameriprise Financial,Minnesota,Project Manager,Financial Services - Wealth Management,3. Financial Services & Insurance,"Plans, executes, and closes projects, managing scope, schedule, budget, and team resources."
Amery Regional Medical Center,Wisconsin,Outpatient Mental Health Therapist,Healthcare - Hospital,2. Healthcare & Medical,A professional clinical role providing therapeutic treatment for physical or mental health conditions.
Ami Consulting Engineers,Minnesota,Civil Engineer,Engineering - Civil,"10. Construction, Engineering & Real Estate","Plans, designs, and oversees construction of infrastructure projects like roads, bridges, and buildings."
CDW,Illinois,Partner Specialist,Technology - IT Solutions Distribution,1. Technology & Software,"A professional role with deep expertise in a specific area, providing focused knowledge and skills."
Andersen Global,Minnesota,Digital Marketing Coordinator,Professional Services - Tax & Legal,7. Professional Services & Consulting,"A professional organizational role that manages logistics, schedules, and communication across teams."
